ID2,Sector,ID,Subsector,P1,P2,cluster
11,"Agriculture, Forestry, Fishing and Hunting",1111B0,Grain farming OR Grain farming,-28.338526,-11.474835,-1
22,Utilities,221100,Power generation and supply OR Power generation and supply,-26.494726,-22.254887,-1
11,"Agriculture, Forestry, Fishing and Hunting",1121A0,Cattle ranching and farming OR Cattle ranching and farming,-27.295752,-11.562735,-1
11,"Agriculture, Forestry, Fishing and Hunting",1111A0,Oilseed farming OR Oilseed farming,-27.345379,-10.978666,-1
31,Manufacturing,311111,Dog and cat food manufacturing OR Dog and cat food manufacturing,-27.918585,-19.128092,-1
32,Manufacturing,325310,Fertilizer Manufacturing OR Fertilizer Manufacturing,-27.68548,-20.760128,-1
21,"Mining, Quarrying, and Oil and Gas Extraction",211000,Oil and gas extraction OR Oil and gas extraction,-27.610703,-20.705751,-1
48,Transportation and Warehousing,484000,Truck transportation OR Truck transportation,-28.196386,-10.103445,-1
11,"Agriculture, Forestry, Fishing and Hunting",112A00,"Animal production, except cattle and poultry and eggs OR Animal production, except cattle and poultry and eggs",-24.174025,-9.28018,0
31,Manufacturing,311221,Wet corn milling OR Wet corn milling,-25.740545,-21.1306,-1
33,Manufacturing,331110,Iron and steel mills OR Iron and steel mills,-25.504704,-20.33299,-1
32,Manufacturing,324110,Petroleum refineries OR Petroleum refineries,-27.262222,-9.9498625,-1
48,Transportation and Warehousing,482000,Rail transportation OR Rail transportation,-27.355133,-9.992751,-1
11,"Agriculture, Forestry, Fishing and Hunting",1119B0,All other crop farming OR All other crop farming,-24.200941,-8.481492,0
32,Manufacturing,325190,Other basic organic chemical manufacturing OR Other basic organic chemical manufacturing,-29.313286,-16.643064,-1
21,"Mining, Quarrying, and Oil and Gas Extraction",212100,Coal mining OR Coal mining,-16.364344,-18.517628,0
48,Transportation and Warehousing,486000,Pipeline transportation OR Pipeline transportation,-25.552727,-19.38101,-1
31,Manufacturing,31122A,Soybean and other oilseed processing OR Soybean and other oilseed processing,-26.542372,-19.759209,-1
33,Manufacturing,33131A,Alumina refining and primary aluminum production OR Alumina refining and primary aluminum production,-26.45481,-18.080679,-1
32,Manufacturing,322120,Paper mills OR Paper mills,-30.805387,-16.595676,-1
56,Administrative and Support and Waste Management and Remediation Services,562000,Waste management and remediation services OR Waste management and remediation services,-15.291554,-18.8101,0
32,Manufacturing,322130,Paperboard Mills OR Paperboard Mills,-30.820438,-16.593943,-1
22,Utilities,221200,Natural gas distribution OR Natural gas distribution,-15.274876,-18.80137,0
48,Transportation and Warehousing,483000,Water transportation OR Water transportation,-25.725004,-7.2077827,0
32,Manufacturing,325211,Plastics material and resin manufacturing OR Plastics material and resin manufacturing,-22.898466,-21.162775,-1
31,Manufacturing,311313,Beet sugar manufacturing OR Beet sugar manufacturing,-28.399343,-16.609451,-1
48,Transportation and Warehousing,481000,Air transportation OR Air transportation,-25.32656,-7.2103305,0
31,Manufacturing,31161A,Animal (except poultry) slaughtering and processing OR Animal (except poultry) slaughtering and processing,-24.896292,-19.325611,-1
11,"Agriculture, Forestry, Fishing and Hunting",111920,Cotton farming OR Cotton farming,-21.238323,-8.138449,0
32,Manufacturing,325110,Petrochemical manufacturing OR Petrochemical manufacturing,-22.478062,-21.388699,0
49,Transportation and Warehousing,492000,Couriers and messengers OR Couriers and messengers,-24.899563,-7.329341,0
32,Manufacturing,325188,All other basic inorganic chemical manufacturing OR All other basic inorganic chemical manufacturing,-24.293667,-19.051882,0
42,Wholesale Trade,420000,Wholesale trade OR Wholesale trade,-24.923435,-8.6771965,0
11,"Agriculture, Forestry, Fishing and Hunting",114100,Fishing OR Fishing,-24.432682,-7.3465543,0
11,"Agriculture, Forestry, Fishing and Hunting",1119A0,Sugarcane and sugar beet farming OR Sugarcane and sugar beet farming,-20.492802,-7.7532196,0
33,Manufacturing,332430,"Metal can, box, and other container manufacturing OR Metal can, box, and other container manufacturing",-25.485233,-18.555355,-1
23,Construction,230301,Nonresidential maintenance and repair OR Nonresidential maintenance and repair,-24.14967,-7.418151,0
32,Manufacturing,325120,Industrial gas manufacturing OR Industrial gas manufacturing,-20.559982,-19.324396,0
33,Manufacturing,33131B,Aluminum product manufacturing from purchased aluminum OR Aluminum product manufacturing from purchased aluminum,-21.84859,-21.513094,0
11,"Agriculture, Forestry, Fishing and Hunting",112120,Milk Production OR Milk Production,-16.279224,-8.232157,0
31,Manufacturing,311225,Fats and oils refining and blending OR Fats and oils refining and blending,-21.437544,-17.220863,0
0,,S00203,Other state and local government enterprises OR Other state and local government enterprises,-20.756695,-5.812021,0
55,Management of Companies and Enterprises,550000,Management of companies and enterprises OR Management of companies and enterprises,-24.015017,-17.045036,0
32,Manufacturing,325411,Medicinal and botanical manufacturing OR Medicinal and botanical manufacturing,-21.708126,-18.714922,0
22,Utilities,221300,"Water, sewage and other systems OR Water, sewage and other systems",-21.985487,-13.342609,0
32,Manufacturing,327310,Cement manufacturing OR Cement manufacturing,-11.0189905,-19.14228,0
32,Manufacturing,32222B,All other paper bag and coated and treated paper manufacturing OR All other paper bag and coated and treated paper manufacturing,-22.962357,-18.071983,0
31,Manufacturing,311210,Flour milling and malt manufacturing OR Flour milling and malt manufacturing,-22.949945,-17.239418,0
31,Manufacturing,311119,Other animal food manufacturing OR Other animal food manufacturing,-20.971258,-17.332157,0
32,Manufacturing,326110,"Plastics packaging materials, film and sheet OR Plastics packaging materials, film and sheet",-23.866516,-17.150879,0
21,"Mining, Quarrying, and Oil and Gas Extraction",212390,Other nonmetallic mineral mining OR Other nonmetallic mineral mining,-21.31558,-14.971796,0
0,,S00201,State and local government passenger transit OR State and local government passenger transit,-20.953733,-6.4440517,0
32,Manufacturing,325181,Alkalies and chlorine manufacturing OR Alkalies and chlorine manufacturing,-20.511564,-18.419216,0
32,Manufacturing,3274A0,Lime and gypsum product manufacturing OR Lime and gypsum product manufacturing,-13.541956,-15.64314,0
32,Manufacturing,322210,Paperboard container manufacturing OR Paperboard container manufacturing,-21.103941,-18.056566,0
32,Manufacturing,322110,Pulp mills OR Pulp mills,-28.86473,-16.576368,-1
31,Manufacturing,311700,Seafood product preparation and packaging OR Seafood product preparation and packaging,-19.679688,-16.234383,0
48,Transportation and Warehousing,48A000,Scenic and sightseeing transportation and support activities for transportation OR Scenic and sightseeing transportation and support activities for transportation,-19.717222,-6.1548867,0
33,Manufacturing,331419,Primary smelting and refining of nonferrous metal (except copper and aluminum) OR Primary smelting and refining of nonferrous metal (except copper and aluminum),-14.548444,-13.540373,0
53,Real Estate and Rental and Leasing,531000,Real estate OR Real estate,-25.231344,-17.811758,-1
33,Manufacturing,331314,Secondary smelting and alloying of aluminum OR Secondary smelting and alloying of aluminum,-19.766714,-18.725147,0
31,Manufacturing,31131A,Sugar cane mills and refining OR Sugar cane mills and refining,-20.361536,-21.689356,0
11,"Agriculture, Forestry, Fishing and Hunting",115000,Agriculture and forestry support activities OR Agriculture and forestry support activities,-19.976578,-8.424925,0
32,Manufacturing,325130,Synthetic dye and pigment manufacturing OR Synthetic dye and pigment manufacturing,-14.432706,-14.352408,0
32,Manufacturing,325320,Pesticide and other agricultural chemical manufacturing OR Pesticide and other agricultural chemical manufacturing,-19.527494,-18.87024,0
0,,S00700,General state and local government services OR General state and local government services,-18.833973,-5.6379232,0
54,"Professional, Scientific, and Technical Services",541700,Scientific research and development services OR Scientific research and development services,-17.649733,-8.387663,0
56,Administrative and Support and Waste Management and Remediation Services,561700,Services to buildings and dwellings OR Services to buildings and dwellings,-18.92338,-6.162664,0
21,"Mining, Quarrying, and Oil and Gas Extraction",212310,Stone mining and quarrying OR Stone mining and quarrying,-18.375452,-7.4081984,0
51,Information,517000,Telecommunications OR Telecommunications,-17.626171,-9.779898,0
21,"Mining, Quarrying, and Oil and Gas Extraction",212210,Iron ore mining OR Iron ore mining,-20.719692,-13.804587,0
32,Manufacturing,324199,All other petroleum and coal products manufacturing OR All other petroleum and coal products manufacturing,-15.010753,-3.5312197,0
11,"Agriculture, Forestry, Fishing and Hunting",112300,Poultry and egg production OR Poultry and egg production,-15.915708,-6.316143,0
33,Manufacturing,332800,"Coating, engraving, heat treating and allied activities OR Coating, engraving, heat treating and allied activities",-17.338118,-14.800683,0
49,Transportation and Warehousing,491000,Postal service OR Postal service,-17.483671,-6.6615133,0
33,Manufacturing,334413,Semiconductor and related device manufacturing OR Semiconductor and related device manufacturing,-17.52103,-13.085064,0
32,Manufacturing,3259A0,All other chemical product and preparation manufacturing OR All other chemical product and preparation manufacturing,-12.132041,-18.624985,0
49,Transportation and Warehousing,493000,Warehousing and storage OR Warehousing and storage,-20.656206,-12.638433,0
72,Accommodation and Food Services,722000,Food services and drinking places OR Food services and drinking places,-20.337166,-13.14563,0
32,Manufacturing,325182,Carbon black manufacturing OR Carbon black manufacturing,-16.794043,-5.3671966,0
54,"Professional, Scientific, and Technical Services",541300,Architectural and engineering services OR Architectural and engineering services,-16.836191,-6.1836643,0
32,Manufacturing,32222A,"Coated and laminated paper, packaging materials, and plastic films manufacturing OR Coated and laminated paper, packaging materials, and plastic films manufacturing",-17.655075,-15.708981,0
32,Manufacturing,327213,Glass container manufacturing OR Glass container manufacturing,-15.617972,-15.066487,0
32,Manufacturing,322299,All other converted paper product manufacturing OR All other converted paper product manufacturing,-18.099117,-15.405337,0
53,Real Estate and Rental and Leasing,533000,Lessors of nonfinancial intangible assets OR Lessors of nonfinancial intangible assets,-21.161192,-13.454324,0
