,ID,Subsector_x,CO t,NH3 t,NOx t,PM10 t,PM 2.5 t,SO2 t,VOC t,Subsector_y,CO2 t CO2e,CH4 t CO2e,N2O t CO2e,Other GHGs t CO2e
0,484000,Truck Transport,18800.0,70.7,10700.0,196.0,445.0,24.1,1470.0,Truck transportation,4190000.0,0.0,0.0,0.0
1,33131A,Aluminum,18800.0,10.5,261.0,125.0,477.0,2890.0,260.0,Alumina refining and primary aluminum production,226000.0,353000.0,0.0,0.0
2,1111B0,"Fresh Wheat, Corn, Rice, And Other Grains",4730.0,22500.0,4420.0,43200.0,11200.0,12.5,3960.0,Grain farming,6080000.0,0.0,3360000.0,31800000.0
3,211000,Unrefined Oil And Gas,3550.0,1.15,3900.0,6.86,98.7,306.0,11400.0,Oil and gas extraction,1200000.0,779000.0,2280000.0,0.0
4,1121A0,Cattle Ranches And Feedlots,2580.0,18300.0,2770.0,275.0,271.0,6.37,252.0,Cattle ranching and farming,1250000.0,0.0,10800000.0,6980000.0
5,331110,"Primary Iron, Steel, And Ferroalloy Products",1990.0,3.34,260.0,26.0,93.4,266.0,59.9,Iron and steel mills,967000.0,1580000.0,15600.0,0.0
6,562000,Waste Management And Remediation,1530.0,38.3,150.0,34.6,212.0,21.8,162.0,Waste management and remediation services,28800.0,0.0,751000.0,8540.0
7,221100,Electricity,1530.0,39.7,3080.0,124.0,319.0,6690.0,74.7,Power generation and supply,25800000.0,0.0,70900.0,160000.0
8,311111,Dog And Cat Food,843.0,17.1,661.0,278.0,433.0,187.0,118.0,Dog and cat food manufacturing,8100000.0,0.0,0.0,0.0
9,483000,"Water Transport (Boats, Ships, Ferries)",759.0,2.76,5360.0,23.7,301.0,1820.0,215.0,Water transportation,588000.0,0.0,0.0,0.0
10,482000,Rail Transport,737.0,2.02,4590.0,12.3,140.0,48.7,253.0,Rail transportation,2110000.0,0.0,0.0,0.0
11,48A000,Scenic And Sightseeing Transportation And Support Activities For Transportation,707.0,0.051,271.0,2.32,14.3,21.0,55.7,Scenic and sightseeing transportation and support activities for transportation,80500.0,0.0,0.0,0.0
12,33131B,Aluminum Products,574.0,5.81,92.6,11.1,97.4,72.2,482.0,Aluminum product manufacturing from purchased aluminum,246000.0,0.0,0.0,0.0
13,322120,Paper,510.0,16.1,475.0,22.7,92.2,706.0,179.0,Paper mills,966000.0,0.0,0.0,0.0
14,111900,"Tobacco, Cotton, Sugarcane, Peanuts, Sugar Beets, Herbs And Spices, And Other Crops",479.0,388.0,232.0,4970.0,1280.0,3.05,260.0,,,,,
15,322130,Cardboard,475.0,14.1,382.0,15.0,76.3,301.0,231.0,Paperboard Mills,671000.0,0.0,0.0,0.0
16,1111A0,"Fresh Soybeans, Canola, Flaxseeds, And Other Oilseeds",463.0,1090.0,496.0,12400.0,3130.0,0.926,1470.0,Oilseed farming,2150000.0,0.0,66600.0,7800000.0
17,325310,Fertilizers,454.0,323.0,411.0,15.6,64.6,646.0,130.0,Fertilizer Manufacturing,1400000.0,1890000.0,0.0,2360000.0
18,221200,Natural Gas,394.0,43.2,832.0,27.6,72.7,1490.0,42.9,Natural gas distribution,57400.0,0.0,579000.0,0.0
19,322110,Wood Pulp,391.0,11.4,288.0,15.5,57.6,205.0,158.0,Pulp mills,93700.0,0.0,0.0,0.0
20,324110,"Gasoline, Fuels, And By-Products Of Petroleum Refining",385.0,4.74,303.0,4.7,40.2,89.6,490.0,Petroleum refineries,2320000.0,0.0,7210.0,0.0
21,311221,Corn Products,371.0,12.1,426.0,135.0,118.0,1070.0,462.0,Wet corn milling,3000000.0,0.0,0.0,0.0
22,325130,Synthetic Dyes And Pigments,357.0,0.149,19.8,1.11,5.26,23.2,16.0,Synthetic dye and pigment manufacturing,32400.0,25500.0,0.0,0.0
23,325180,Other Basic Inorganic Chemicals,334.0,17.9,182.0,33.8,41.6,412.0,30.5,,,,,
24,112A00,Animal Farms And Aquaculture Ponds (Except Cattle And Poultry),269.0,11300.0,286.0,1.3,23.4,0.818,26.2,"Animal production, except cattle and poultry and eggs",413000.0,0.0,1940000.0,785000.0
25,113000,Timber And Raw Forest Products,252.0,11.8,46.9,76.5,26.0,0.179,26.2,,,,,
26,324190,Other Petroleum And Coal Products,235.0,0.523,43.9,4.16,12.6,202.0,10.8,,,,,
27,486000,Pipeline Transport,230.0,0.258,751.0,1.02,16.8,3.96,399.0,Pipeline transportation,524000.0,1440.0,621000.0,0.0
28,311300,"Sugar, Candy, And Chocolate",222.0,7.28,70.3,12.5,82.2,43.8,23.1,,,,,
29,420000,Wholesale Trade,210.0,0.331,18.1,8.88,5.61,1.62,384.0,Wholesale trade,363000.0,0.0,0.0,0.0
30,325110,Petrochemicals,194.0,4.44,179.0,3.57,32.6,33.3,98.3,Petrochemical manufacturing,368000.0,50800.0,21000.0,0.0
