,Sector,Subsector,cluster
0,"Agriculture, Forestry, Fishing and Hunting",Grain farming OR Grain farming,-1
55,Manufacturing,Pulp mills OR Pulp mills,-1
35,Manufacturing,"Metal can, box, and other container manufacturing OR Metal can, box, and other container manufacturing",-1
27,Manufacturing,Animal (except poultry) slaughtering and processing OR Animal (except poultry) slaughtering and processing,-1
25,Manufacturing,Beet sugar manufacturing OR Beet sugar manufacturing,-1
24,Manufacturing,Plastics material and resin manufacturing OR Plastics material and resin manufacturing,-1
21,Manufacturing,Paperboard Mills OR Paperboard Mills,-1
19,Manufacturing,Paper mills OR Paper mills,-1
18,Manufacturing,Alumina refining and primary aluminum production OR Alumina refining and primary aluminum production,-1
17,Manufacturing,Soybean and other oilseed processing OR Soybean and other oilseed processing,-1
16,Transportation and Warehousing,Pipeline transportation OR Pipeline transportation,-1
14,Manufacturing,Other basic organic chemical manufacturing OR Other basic organic chemical manufacturing,-1
59,Real Estate and Rental and Leasing,Real estate OR Real estate,-1
12,Transportation and Warehousing,Rail transportation OR Rail transportation,-1
11,Manufacturing,Petroleum refineries OR Petroleum refineries,-1
1,Utilities,Power generation and supply OR Power generation and supply,-1
10,Manufacturing,Iron and steel mills OR Iron and steel mills,-1
9,Manufacturing,Wet corn milling OR Wet corn milling,-1
7,Transportation and Warehousing,Truck transportation OR Truck transportation,-1
6,"Mining, Quarrying, and Oil and Gas Extraction",Oil and gas extraction OR Oil and gas extraction,-1
2,"Agriculture, Forestry, Fishing and Hunting",Cattle ranching and farming OR Cattle ranching and farming,-1
3,"Agriculture, Forestry, Fishing and Hunting",Oilseed farming OR Oilseed farming,-1
5,Manufacturing,Fertilizer Manufacturing OR Fertilizer Manufacturing,-1
4,Manufacturing,Dog and cat food manufacturing OR Dog and cat food manufacturing,-1
279,Manufacturing,Office supplies (except paper) manufacturing OR Office supplies (except paper) manufacturing,0
280,Manufacturing,"Cutlery, utensils, pots, and pans manufacturing OR Cutlery, utensils, pots, and pans manufacturing",0
219,Information,Periodical publishers OR Periodical publishers,0
282,Manufacturing,Other communications equipment manufacturing OR Other communications equipment manufacturing,0
283,Manufacturing,Carpet and rug mills OR Carpet and rug mills,0
284,Manufacturing,Turbine and turbine generator set units manufacturing OR Turbine and turbine generator set units manufacturing,0
285,"Professional, Scientific, and Technical Services",Photographic services OR Photographic services,0
281,Manufacturing,Mechanical Power Transmission Equipment Manufacturing OR Mechanical Power Transmission Equipment Manufacturing,0
278,Manufacturing,Wood kitchen cabinet and countertop manufacturing OR Wood kitchen cabinet and countertop manufacturing,0
273,Manufacturing,"Showcases, partitions, shelving, and lockers OR Showcases, partitions, shelving, and lockers",0
276,Manufacturing,Process and oven not fluid power machinery OR Process and oven not fluid power machinery,0
275,Information,Internet service providers and web search portals OR Internet service providers and web search portals,0
274,Manufacturing,Switchgear and switchboard apparatus manufacturing OR Switchgear and switchboard apparatus manufacturing,0
286,"Arts, Entertainment, and Recreation",Performing arts companies OR Performing arts companies,0
272,Manufacturing,Soft drink and ice manufacturing OR Soft drink and ice manufacturing,0
271,Information,Internet publishing and broadcasting OR Internet publishing and broadcasting,0
270,Information,Software publishers OR Software publishers,0
269,Manufacturing,Ship building and repairing OR Ship building and repairing,0
268,"Arts, Entertainment, and Recreation","Independent artists, writers, and performers OR Independent artists, writers, and performers",0
267,Manufacturing,"Metal tank, heavy gauge, manufacturing OR Metal tank, heavy gauge, manufacturing",0
277,"Professional, Scientific, and Technical Services",Veterinary services OR Veterinary services,0
287,"Professional, Scientific, and Technical Services",Custom computer programming services OR Custom computer programming services,0
292,Manufacturing,Magnetic and optical recording media manufacturing OR Magnetic and optical recording media manufacturing,0
289,Manufacturing,Mining and oil and gas field machinery manufacturing OR Mining and oil and gas field machinery manufacturing,0
310,Manufacturing,Industrial mold manufacturing OR Industrial mold manufacturing,0
309,Manufacturing,Surgical appliance and supplies manufacturing OR Surgical appliance and supplies manufacturing,0
308,Information,Other information services OR Other information services,0
307,Manufacturing,Electron tube manufacturing OR Electron tube manufacturing,0
306,Manufacturing,Heating equipment (except warm air furnaces) manufacturing OR Heating equipment (except warm air furnaces) manufacturing,0
305,Manufacturing,Aircraft engine and engine parts manufacturing OR Aircraft engine and engine parts manufacturing,0
304,Manufacturing,Breakfast cereal manufacturing OR Breakfast cereal manufacturing,0
303,Accommodation and Food Services,Other accommodations OR Other accommodations,0
302,Manufacturing,Cut stone and stone product manufacturing OR Cut stone and stone product manufacturing,0
301,Manufacturing,Pump and pumping equipment manufacturing OR Pump and pumping equipment manufacturing,0
300,Manufacturing,Coffee and tea manufacturing OR Coffee and tea manufacturing,0
299,Manufacturing,Plumbing Fixture Fitting and Trim Manufacturing OR Plumbing Fixture Fitting and Trim Manufacturing,0
298,Manufacturing,Fabricated pipe and pipe fitting manufacturing OR Fabricated pipe and pipe fitting manufacturing,0
297,Educational Services,Other educational services OR Other educational services,0
296,Manufacturing,Engineered wood member and truss manufacturing OR Engineered wood member and truss manufacturing,0
295,Manufacturing,Industrial process variable instruments OR Industrial process variable instruments,0
294,Manufacturing,Leather and hide tanning and finishing OR Leather and hide tanning and finishing,0
293,Manufacturing,Electric power and specialty transformer manufacturing OR Electric power and specialty transformer manufacturing,0
266,Other Services (except Public Administration),Other personal services OR Other personal services,0
291,Manufacturing,Heavy duty truck manufacturing OR Heavy duty truck manufacturing,0
290,Manufacturing,"Electronic capacitor, resistor, coil, transformer, and other inductor manufacturing OR Electronic capacitor, resistor, coil, transformer, and other inductor manufacturing",0
288,Manufacturing,"Software, audio and video reproduction OR Software, audio and video reproduction",0
265,Manufacturing,Electric lamp bulb and part manufacturing OR Electric lamp bulb and part manufacturing,0
259,Manufacturing,Telephone apparatus manufacturing OR Telephone apparatus manufacturing,0
263,Manufacturing,Cut and sew apparel contractors OR Cut and sew apparel contractors,0
238,Manufacturing,Other leather and allied product manufacturing OR Other leather and allied product manufacturing,0
237,Information,Motion picture and video industries OR Motion picture and video industries,0
236,Manufacturing,Construction machinery manufacturing OR Construction machinery manufacturing,0
235,Manufacturing,Miscellaneous nonmetallic mineral products OR Miscellaneous nonmetallic mineral products,0
234,Manufacturing,"Air conditioning, refrigeration, and warm air heating equipment manufacturing OR Air conditioning, refrigeration, and warm air heating equipment manufacturing",0
233,Manufacturing,Textile bag and canvas mills OR Textile bag and canvas mills,0
232,Manufacturing,Bare printed circuit board manufacturing OR Bare printed circuit board manufacturing,0
231,Manufacturing,Relay and industrial control manufacturing OR Relay and industrial control manufacturing,0
230,Manufacturing,Printed circuit assembly (electronic assembly) manufacturing OR Printed circuit assembly (electronic assembly) manufacturing,0
239,Manufacturing,Air purification and ventilation equipment manufacturing OR Air purification and ventilation equipment manufacturing,0
229,Manufacturing,Urethane and Other Foam Product (except Polystyrene) Manufacturing OR Urethane and Other Foam Product (except Polystyrene) Manufacturing,0
227,Manufacturing,"Concrete pipe, brick and block manufacturing OR Concrete pipe, brick and block manufacturing",0
226,Manufacturing,Other industrial machinery manufacturing OR Other industrial machinery manufacturing,0
